id,corridor,nom_entite,pays,ville,identifiant_legal,type_acteur,canal_contact,contact_cible,role_cible,trigger_urgence,service_propose,fourchette_prix_eur_usd,rail_paiement,statut,hook_accroche
11,EU_CBAM,ArcelorMittal Europe (Flat Products / Long Products),France/Luxembourg,Fos-sur-Mer / Dunkerque,FR56424849810,Siderurgie / Importateur d'acier,mail_departement_douane,cbam-compliance@arcelormittal.com,CBAM Compliance Officer / Customs Director,Phase definitive 2026 : penalite 100 EUR/tonne sur emissions non declarees,Calcul des emissions directes/indirectes de la filiere acier nord-africaine,5000-20000 EUR/dossier,Virement bancaire SWIFT,PROSPECT_QUALIFIE,"Importations d'acier depuis l'Algerie (Tosyali/AQS) : nous fournissons le dossier de calcul exact des emissions conformes IR 2025/2620."
12,EU_CBAM,Fertiberia France / SA,France/Espagne,Madrid / Paris,FR88383920194,Importateur et distributeur d'engrais,mail_approvisionnements,achats-import@fertiberia.com,Directeur des Achats Industriels / Douane,Importation d'uree et ammoniac d'Algerie sous astreinte de declaration CBAM,Dossier d'empreinte carbone et calcul du droit de passage sur l'uree/ammoniac,4000-15000 EUR/mission,Virement SEPA / SWIFT,PROSPECT_QUALIFIE,"Vos imports d'engrais d'Afrique du Nord necessitent la formule exacte de l'annexe V : evitez la surtaxe forfaitaire."
13,EU_CBAM,Bollore Logistics / CMA CGM Logistics,France,Marseille,FR44562082909,Commissionnaire en douane international,mail_direction_douane,contact.douane@bollore.com,Responsable Affaires Reglementaires & Douane,Responsabilite elargie du declarant pour le compte des PME importatrices,Preparation externalisee des rapports trimestriels et annuels CBAM pour leurs clients,300-500 EUR/declaration,Virement SEPA / Deel,PROSPECT_QUALIFIE,"Vos clients importateurs vous demandent de gerer leur CBAM : nous executons le calcul technique et l'alimentation XML."
14,EU_EAA,Showroomprive (SRP Groupe),France,La Plaine Saint-Denis,538811837,E-commerce Mode & Retail,mail_juridique_et_tech,conformite@showroomprive.com,Chief Technology Officer / Directeur Juridique,EAA en vigueur depuis juin 2025 - assignations d'associations et amendes ARCOM/DGCCRF,Audit express WCAG 2.1 AA du tunnel d'achat et declaration d'accessibilite obligatoire,1500-6000 EUR,Virement SEPA / Deel,PROSPECT_QUALIFIE,"L'action de groupe contre Carrefour/Leclerc montre que la DGCCRF cible le retail : notre audit EAA vous protege en 72h."
15,EU_EAA,Agence Dn'D (E-commerce Agency),France,Paris,452148900,Agence Web E-commerce (Shopify/Magento),mail_direction,contact@dnd.fr,Directeur Technique / Directeur de Production,Tous les clients de l'agence doivent se conformer a l'EAA sous peine d'assignation,Sous-traitance de l'audit d'accessibilite et de la redaction des declarations conformes,350-500 EUR/jour TJM,Malt France / Virement SEPA,PROSPECT_QUALIFIE,"Vos clients e-commerce risquent 25 000 EUR pour absence de declaration d'accessibilite : sous-traitez-nous les audits."
16,GLOBAL_AI_LABS,Mercor,USA,San Francisco,US_DELAWARE_CORP,Plateforme de Recrutement AI / Tech,postulation_plateforme,support@mercor.com,Hiring Lead / AI Talent Partner,Besoin continu de developpeurs Python/IA et evaluateurs specialises,Developpement d'agents et evaluation de modeles en arabe et francais,25-100 USD/heure,Wise / Stripe / Virement,PROSPECT_QUALIFIE,"Profil d'ingenieur IA specialise architectures d'agents et modeles multilingues Arabe/Francais disponible en contrat direct."
17,GLOBAL_AI_LABS,Alignerr (Labelbox),USA,San Francisco,US_LABELBOX_INC,Plateforme d'Evaluation LLM de Pointe,inscription_portail,community@alignerr.com,Lead Evaluator Community Manager,Penurie d'experts bilingues Arabe standard/dialectes et Francais pour RLHF,Evaluation de raisonnement logique, code Python et alignement semantique,30-80 USD/heure,PayPal / Stripe / Payoneer,PROSPECT_QUALIFIE,"Candidature directe d'evaluateur certifie : maitrise native Arabe/Francais/Darija et code deterministe."
18,GLOBAL_AI_LABS,Outlier AI (Scale AI),USA,San Francisco,US_SCALE_AI_INC,Fournisseur Mondial de Donnees RLHF,candidature_directe,support@outlier.ai,Operations Lead - Multilingual Projects,Entrainement des modeles frontieres (OpenAI/Anthropic/Meta) sur la securite linguistique,Red teaming multilingue, detection de jailbreaks arabes et correction de code,20-60 USD/heure,Payoneer / Airtm / PayPal,PROSPECT_QUALIFIE,"Specialiste verification d'agents et securite linguistique Arabe/Francais pret a integrer les missions de benchmarking."
19,GLOBAL_AI_LABS,Surge AI,USA,New York,US_SURGE_HQ,Laboratoire d'Evaluation de Donnees Qualitatives,candidature_web,team@surgehq.ai,Head of RLHF Operations,Besoins stricts sur les nuances culturelles et les biais dans les corpus multilingues,Creation de bancs d'essai et benchmarks de robustesse de securite IA,25-70 USD/heure,Wise / Virement direct,PROSPECT_QUALIFIE,"Ingenieur IA independant avec suite de tests deterministes pour evaluation d'invariance multilingue."
20,SAUDI_ZATCA,مكتب العظم والسديري وال الشيخ محاسبون قانونيون (Crowe SA),السعودية,الرياض,CR1010187842,مكتب محاسبة ومراجعة قانونية SOCPA,بريد_المكتب,info@crowe.sa,الشريك المسؤول / مدير مراجعة تقنية المعلومات,الموجة 24 خفضت العتبة لـ 375 ألف ريال وانتهاء مهلة الاعفاء من الغرامات (حتى 50 ألف ريال),فحص وتدقيق الفواتير غير المطابقة لمنصة فاتورة واصلاح اخطاء التشفير والـ XML,5000-25000 SAR,تحويل بنكي دولي SWIFT / Payoneer,PROSPECT_QUALIFIE,"مع تطبيق غرامات المرحلة 2 على المنشآت المتوسطة : نقدم خدمة التدقيق التقني للفواتير وسجلات العملاء قبل إرسالها للزكاة."
21,SAUDI_ZATCA,مكتب السويلم ومشاركوه محاسبون ومراجعون قانونيون,السعودية,جدة,CR4030144921,مكتب محاسبة معتمد SOCPA,هاتف_وبريد,info@alsuwailim.com,مدير قطاع الشركات والزكاة,تراكم استفسارات العملاء حول رفض فواتير B2B والربط المباشر مع هيئة الزكاة,حلول معالجة وتنظيف قواعد بيانات الموردين وتهيئة سجلات الضريبة,4000-18000 SAR,تحويل بنكي / وساطة تجارية,PROSPECT_QUALIFIE,"نتولى عن فريقكم المحاسبي التدقيق البرمجي لمعرفات الفوترة الإلكترونية وتفادي غرامات المادة 45 من نظام الضريبة."
22,FR_DEV_AGENCY,Clever Age,France,Paris,439634814,Agence Digitale & ESN specialisee Web/Architecture,mail_direction_technique,contact@clever-age.com,Directeur Technique (CTO) / Responsable Ressources,Cout eleve des developpeurs seniors en Ile-de-France (TJM 700+ EUR),Sous-traitance developpement backend FastAPI / Next.js / Architecture d'agents,250-400 EUR/jour TJM,Malt France / Virement SEPA,PROSPECT_QUALIFIE,"Vos projets d'agents et d'APIs necessitent de la ressource senior : nous intervenons a 300 EUR/j sur meme fuseau horaire."
23,FR_DEV_AGENCY,Theodo (Groupe M33),France,Paris,512759978,Agence de Developpement Web & IA,mail_recrutement_partenaire,contact@theodo.fr,Tech Lead / Delivery Manager,Forte demande client sur les fonctionnalites IA generatives et workflows durables,Renfort d'equipe sur les modules d'orchestration Python/LangGraph,300-450 EUR/jour TJM,Malt / Virement SEPA,PROSPECT_QUALIFIE,"Nous delivrons des briques fiabilisees en Python 3.12 et Next.js pretes a l'integration dans vos sprints agiles."
24,HIGH_VAL_EXPORT,Biocoop (Centrale d'achat nationale),France,Paris,382894324,Reseau de distribution Bio / Organique,mail_achats_filiere,approvisionnements@biocoop.fr,Responsable Filiere Fruits Secs & Import Equitable,Demande croissante de dattes deglet nour de terroir certifiees bio sans traitement chimique,Mise en relation et fourniture de dattes deglet nour d'Algerie en emballage vrac conforme,10000-50000 EUR/commande,Lettre de credit documentaire / SWIFT,PROSPECT_QUALIFIE,"Filiere directe Oasis Tolga/Biskra : Dattes Deglet Nour bio certifiees avec tracabilite complete et zero pesticide."
25,HIGH_VAL_EXPORT,Laboratoires Expanscience (Division Cosmetique Active),France,Courbevoie,331930081,Laboratoire Cosmetique & Pharmaceutique,mail_achats_actifs,contact-fournisseurs@expanscience.com,Directeur Achats Matieres Premieres Vegetales,Recherche d'actifs vegetaux rares a haute concentration en vitamine E et sterols,Fourniture d'huile de pepins de figue de barbarie pure d'Algerie pressee a froid,500-900 EUR/litre,Virement bancaire commercial,PROSPECT_QUALIFIE,"Huile de pepins de figue de barbarie d'Algerie : premiere pression a froid, analyse chromatographique certifiee."
26,INTL_GRANTS,Interreg NEXT MED (Secretariat Conjoint),Italie/Mediterranee,Cagliari,EU_INTERREG_MED,Programme de Financement Europeen Transfrontalier,depot_candidature_plateforme,programme@interregnextmed.eu,Gestionnaire de Projets de Transition Numerique & Verte,Appels a projets d'innovation technologique et d'inclusion pour la rive sud de la Mediterranee,Developpement de plateformes d'IA pedagogique et de verificateurs de securite energetique,100000-500000 EUR (Subvention non remboursable),Virement direct de subvention bancaire,SOUMISSION_PROGRAMMEE,"Projet de laboratoire d'apprentissage adaptatif et de robustesse des systemes d'IA euro-mediterraneens."
27,INTL_GRANTS,Open Philanthropy (AI Safety & Governance),USA,San Francisco,US_OPEN_PHIL_LLC,Fonds de dotation philanthropique mondial,portail_subventions,grants@openphilanthropy.org,Program Officer - AI Safety & Verifiable Alignment,Necessite urgente de protocoles d'evaluation deterministes pour reduire les risques d'agents autonomes,Financement de recherche sur le protocole VEP (Verifiable Evidence Protocol) et invariance linguistique,30000-150000 USD (Non-dilutive grant),Virement direct de dotation de recherche,SOUMISSION_PROGRAMMEE,"Formal verification and multi-surface language invariance protocols for high-stakes autonomous agents."
